longitude,latitude,year,month,day,date,air_tmax,air_tmax_source,air_tmin,air_tmin_source,elev_m,et_morton_actual,et_morton_actual_source,et_morton_potential,et_morton_potential_source,et_morton_wet,et_morton_wet_source,et_short_crop,et_short_crop_source,et_tall_crop,et_tall_crop_source,evap_comb,evap_comb_source,evap_morton_lake,evap_morton_lake_source,evap_pan,evap_pan_source,evap_syn,evap_syn_source,extracted,mslp,mslp_source,radiation,radiation_source,rainfall,rainfall_source,rh_tmax,rh_tmax_source,rh_tmin,rh_tmin_source,vp,vp_deficit,vp_deficit_source,vp_source,location
146.5,-38.19,2022,5,27,2022-05-27,16.3,25,7.2,25,60.8 m,0.7,26,0.7,26,0.7,26,0.6,26,0.7,26,1.1,25,0.7,26,1.1,25,1.3,26,2024-10-27,1019.3,25,6,42,1.2,25,73.4,26,100,26,13.6,2.4,26,25,Traralgon
146.5,-38.19,2022,5,28,2022-05-28,15.7,25,7.9,25,60.8 m,0.7,26,1,26,0.8,26,1,26,1.4,26,1.2,25,0.8,26,1.2,25,1.5,26,2024-10-27,1014.7,25,7.3,42,0.1,25,65.1,26,100,26,11.6,4.1,26,25,Traralgon
146.5,-38.19,2022,5,29,2022-05-29,16.1,25,-0.3,25,60.8 m,0.7,26,1.4,26,1.1,26,1.2,26,1.9,26,1.1,25,1.1,26,1.1,25,1.7,26,2024-10-27,1010.3,25,9.6,42,0.2,25,45.4,26,100,26,8.3,5.7,26,25,Traralgon
146.5,-38.19,2022,5,30,2022-05-30,9.8,25,0.9,25,60.8 m,0.6,26,0.6,26,0.6,26,0.6,26,0.9,26,0.6,25,0.6,26,0.6,25,1.2,26,2024-10-27,996,25,4.4,42,0.1,25,66.1,26,100,26,8,2.4,26,25,Traralgon
146.5,-38.19,2022,5,31,2022-05-31,10.4,25,3.4,25,60.8 m,0.6,26,0.6,26,0.6,26,0.6,26,0.7,26,1.3,25,0.6,26,1.3,25,1.2,26,2024-10-27,991.7,25,5,42,5.1,25,73.8,26,100,26,9.3,1.9,26,25,Traralgon
146.5,-38.19,2022,6,1,2022-06-01,14.3,25,4.7,25,60.8 m,0.6,26,0.8,26,0.7,26,1,26,1.5,26,0.8,25,0.7,26,0.8,25,1.2,26,2024-10-27,1003.2,25,6.9,42,20.6,25,58.3,26,100,26,9.5,4.4,26,25,Traralgon
146.5,-38.19,2022,6,2,2022-06-02,13.2,25,6.9,25,60.8 m,0.8,26,1.1,26,1,26,0.8,26,1.2,26,1,25,0.9,26,1,25,1.1,26,2024-10-27,1021,25,8.7,42,1.5,25,68.6,26,100,26,10.4,3.3,26,25,Traralgon
146.5,-38.19,2022,6,3,2022-06-03,11.4,25,1.2,25,60.8 m,0.6,26,0.6,26,0.6,26,0.9,26,1.3,26,1,25,0.6,26,1,25,1.2,26,2024-10-27,1015.2,25,5.9,42,0,25,57.2,26,100,26,7.7,3.7,26,25,Traralgon
146.5,-38.19,2022,6,4,2022-06-04,15.7,25,0.1,25,60.8 m,0.7,26,0.7,26,0.7,26,0.8,26,1.2,26,1.8,25,0.7,26,1.8,25,1.2,26,2024-10-27,1007.8,25,8.3,42,0.1,25,55,26,100,26,9.8,4,26,25,Traralgon
146.5,-38.19,2022,6,5,2022-06-05,15.8,25,6.4,25,60.8 m,0.4,26,0.8,26,0.6,26,1.2,26,1.7,26,1.8,25,0.6,26,1.8,25,1.3,26,2024-10-27,1000.8,25,5.2,42,0.2,25,55.7,26,100,26,10,5.4,26,25,Traralgon
146.5,-38.19,2022,6,6,2022-06-06,10.4,25,6,25,60.8 m,0.7,26,0.7,26,0.7,26,0.7,26,0.9,26,1.3,25,0.7,26,1.3,25,1,26,2024-10-27,1000.3,25,4.1,42,12.4,25,75.4,26,100,26,9.5,2.2,26,25,Traralgon
146.5,-38.19,2022,6,7,2022-06-07,10.8,25,5.9,25,60.8 m,0.6,26,0.9,26,0.8,26,0.8,26,1.2,26,1.3,25,0.8,26,1.3,25,1.1,26,2024-10-27,1007.3,25,7.7,42,12.3,25,68,26,94.8,26,8.8,3.1,26,25,Traralgon
146.5,-38.19,2022,6,8,2022-06-08,12,25,5.8,25,60.8 m,0.6,26,0.6,26,0.6,26,0.8,26,1.1,26,1.3,25,0.6,26,1.3,25,1.1,26,2024-10-27,1015.8,25,6.1,42,16.7,25,68.5,26,100,26,9.6,3,26,25,Traralgon
146.5,-38.19,2022,6,9,2022-06-09,12.2,25,7.6,25,60.8 m,0.6,26,0.6,26,0.6,26,0.7,26,1,26,1.2,25,0.6,26,1.2,25,1,26,2024-10-27,1012.7,25,6.3,42,4.2,25,74.6,26,100,26,10.6,2.6,26,25,Traralgon
146.5,-38.19,2022,6,10,2022-06-10,13,25,8.8,25,60.8 m,0.7,26,0.7,26,0.7,26,0.8,26,1,26,1.1,25,0.6,26,1.1,25,1,26,2024-10-27,1014.5,25,5.4,42,4.9,25,75.5,26,99.8,26,11.3,2.7,26,25,Traralgon
146.5,-38.19,2022,6,11,2022-06-11,10.9,25,7,25,60.8 m,0.6,26,0.6,26,0.6,26,0.7,26,1,26,1.6,25,0.6,26,1.6,25,1,26,2024-10-27,1015.7,25,5.4,42,3.1,25,75.2,26,97.9,26,9.8,2.4,26,25,Traralgon
146.5,-38.19,2022,6,12,2022-06-12,12.9,25,8.1,25,60.8 m,0.6,26,0.6,26,0.6,26,0.8,26,1.1,26,0.8,25,0.6,26,0.8,25,1.1,26,2024-10-27,1015.4,25,6.3,42,7.7,25,72.6,26,100,26,10.8,2.9,26,25,Traralgon
146.5,-38.19,2022,6,13,2022-06-13,13.4,25,8.2,25,60.8 m,0.6,26,1,26,0.8,26,1,26,1.4,26,1,25,0.8,26,1,25,1.2,26,2024-10-27,1022.4,25,7.5,42,2.2,25,65.7,26,92.9,26,10.1,4,26,25,Traralgon
146.5,-38.19,2022,6,14,2022-06-14,12.9,25,0.7,25,60.8 m,0.5,26,1.2,26,0.9,26,1,26,1.6,26,1.3,25,0.9,26,1.3,25,1.3,26,2024-10-27,1023.1,25,8.7,42,0.2,25,48.4,26,100,26,7.2,4.9,26,25,Traralgon
146.5,-38.19,2022,6,15,2022-06-15,13.7,25,1.1,25,60.8 m,0.6,26,0.6,26,0.6,26,0.9,26,1.3,26,1.3,25,0.6,26,1.3,25,1.2,26,2024-10-27,1015.5,25,4.8,42,0.4,25,54.9,26,100,26,8.6,4.1,26,25,Traralgon
146.5,-38.19,2022,6,16,2022-06-16,13.9,25,6.3,25,60.8 m,0.5,26,0.5,26,0.5,26,0.4,26,0.5,26,1,25,0.5,26,1,25,1,26,2024-10-27,1012.6,25,4.8,42,0.8,25,78.1,26,100,26,12.4,1.6,26,25,Traralgon
146.5,-38.19,2022,6,17,2022-06-17,14.4,25,9.2,25,60.8 m,0.6,26,0.6,26,0.6,26,0.7,26,0.9,26,0.8,25,0.6,26,0.8,25,1,26,2024-10-27,1022.8,25,6,42,1.5,25,75.6,26,100,26,12.4,2.7,26,25,Traralgon
146.5,-38.19,2022,6,18,2022-06-18,15.9,25,4.1,25,60.8 m,0.6,26,0.9,26,0.8,26,1,26,1.6,26,0.7,25,0.8,26,0.7,25,1.3,26,2024-10-27,1028,25,7.6,42,0.1,25,54.3,26,100,26,9.8,5.1,26,25,Traralgon
146.5,-38.19,2022,6,19,2022-06-19,14.8,25,5.5,25,60.8 m,0.9,26,1,26,1,26,0.7,26,1,26,0.9,25,1,26,0.9,25,1.1,26,2024-10-27,1028.4,25,8.9,42,0,25,65.4,26,100,26,11,3.5,26,25,Traralgon
146.5,-38.19,2022,6,20,2022-06-20,14.2,25,5.7,25,60.8 m,0.6,26,0.9,26,0.7,26,1,26,1.5,26,1.1,25,0.7,26,1.1,25,1.2,26,2024-10-27,1022.5,25,7.3,42,0.1,25,59.3,26,100,26,9.6,4.5,26,25,Traralgon
146.5,-38.19,2022,6,21,2022-06-21,14.1,25,6.6,25,60.8 m,0.6,26,0.6,26,0.6,26,0.6,26,0.8,26,1.6,25,0.5,26,1.6,25,1,26,2024-10-27,1017.7,25,7,42,4.9,25,72.8,26,100,26,11.7,2.5,26,25,Traralgon
146.5,-38.19,2022,6,22,2022-06-22,14.2,25,3,25,60.8 m,0.5,26,0.5,26,0.5,26,0.5,26,0.7,26,0.6,25,0.4,26,0.6,25,1.1,26,2024-10-27,1023.3,25,6.1,42,0.9,25,68,26,100,26,11,2.5,26,25,Traralgon
146.5,-38.19,2022,6,23,2022-06-23,16.6,25,5.6,25,60.8 m,0.7,26,0.7,26,0.7,26,0.9,26,1.3,26,1.8,25,0.7,26,1.8,25,1.3,26,2024-10-27,1021,25,6.9,42,0.1,25,59.9,26,100,26,11.3,4.5,26,25,Traralgon
146.5,-38.19,2022,6,24,2022-06-24,15.2,25,8.1,25,60.8 m,0.7,26,0.7,26,0.7,26,0.7,26,0.9,26,1,25,0.7,26,1,25,1.1,26,2024-10-27,1013.3,25,6.7,42,5.1,25,73,26,100,26,12.6,2.8,26,25,Traralgon
146.5,-38.19,2022,6,25,2022-06-25,15.8,25,5.4,25,60.8 m,0.6,26,1.3,26,1,26,1.1,26,1.6,26,1.5,25,1,26,1.5,25,1.3,26,2024-10-27,1018.5,25,8.8,42,0.3,25,55.2,26,100,26,9.9,5.3,26,25,Traralgon
